"","SAMPLE","GROUP","GENE","SEQ_COUNT","COPY_COUNT","SEQ_FREQ","COPY_FREQ"
"1138","CS_CTRL16","CS_CTRL","IGHV1-59",11,12,0.00338983050847458,0.00238048006347947
"1139","CS_CTRL16","CS_CTRL","IGHV11-1",7,12,0.00215716486902928,0.00238048006347947
"1140","CS_IMM17","CS_IMM","IGHV1-46",12,12,0.00255591054313099,0.00126156433978133
"1141","CS_IMM17","CS_IMM","IGHV2-7",12,12,0.00255591054313099,0.00126156433978133
"1142","CS_IMM17","CS_IMM","IGHV3-1",10,12,0.00212992545260916,0.00126156433978133
"1143","CS_IMM17","CS_IMM","IGHV8-2",10,12,0.00212992545260916,0.00126156433978133
"1144","CS_IMM18","CS_IMM","IGHV10-1",8,12,0.00335289186923722,0.00365185636031649
"1145","CS_IMM18","CS_IMM","IGHV2-5",12,12,0.00502933780385583,0.00365185636031649
"1146","CS_IMM18","CS_IMM","IGHV5-16",9,12,0.00377200335289187,0.00365185636031649
"1147","CS_IMM19","CS_IMM","IGHV1-12",12,12,0.00435097897026831,0.00338409475465313
"1148","CS_IMM21","CS_IMM","IGHV2-7",12,12,0.00204708290685773,0.0013284623048821
"1149","CS_IMM23","CS_IMM","IGHV1-59",10,12,0.00327653997378768,0.00268216361198033
"1150","CS_IMM24","CS_IMM","IGHV1-58",11,12,0.00495049504950495,0.00361772686162195
"1151","CS_IMM24","CS_IMM","IGHV2-5",12,12,0.0054005400540054,0.00361772686162195
"1152","CS_IMM24","CS_IMM","IGHV3-5",12,12,0.0054005400540054,0.00361772686162195
"1153","CS_IMM24","CS_IMM","IGHV6-7",12,12,0.0054005400540054,0.00361772686162195
"1154","CS_IMM25","CS_IMM","IGHV2-4",11,12,0.0027617373838815,0.00184700631060489
"1155","RA_CTRL1","RA_CTRL","IGHV3-1",11,12,0.00353016688061617,0.00269966254218223
"1156","RA_CTRL1","RA_CTRL","IGHV5-4",11,12,0.00353016688061617,0.00269966254218223
"1157","RA_CTRL1","RA_CTRL","IGHV8-2",11,12,0.00353016688061617,0.00269966254218223
"1158","RA_CTRL2","RA_CTRL","IGHV1-85",11,12,0.00223713646532438,0.00122411506681628
"1159","RA_CTRL2","RA_CTRL","IGHV2-9",12,12,0.0024405125076266,0.00122411506681628
"1160","RA_CTRL2","RA_CTRL","IGHV9-2",11,12,0.00223713646532438,0.00122411506681628
"1161","RA_CTRL3","RA_CTRL","IGHV1-62-2",12,12,0.00249376558603491,0.00166389351081531
"1162","RA_CTRL3","RA_CTRL","IGHV1-74",12,12,0.00249376558603491,0.00166389351081531
"1163","RA_IMM11","RA_IMM","IGHV12-3",12,12,0.00267618198037467,0.00161052207757348
"1164","RA_IMM12","RA_IMM","IGHV9-2",9,12,0.00219084712755599,0.00200100050025012
"1165","RA_IMM6","RA_IMM","IGHV1-61",9,12,0.00123915737298637,0.000923218956762579
"1166","RA_IMM8","RA_IMM","IGHV2-3",10,12,0.00139043381535039,0.000903818633727499
"1167","CS_CTRL14","CS_CTRL","IGHV1-18",10,11,0.00361925443358668,0.00281618023553507
"1168","CS_CTRL14","CS_CTRL","IGHV1-46",11,11,0.00398117987694535,0.00281618023553507
"1169","CS_CTRL15","CS_CTRL","IGHV1-11",11,11,0.00516431924882629,0.00234942332336608
"1170","CS_CTRL15","CS_CTRL","IGHV14-1",10,11,0.00469483568075117,0.00234942332336608
"1171","CS_CTRL15","CS_CTRL","IGHV1S112",11,11,0.00516431924882629,0.00234942332336608
"1172","CS_CTRL15","CS_CTRL","IGHV7-3",11,11,0.00516431924882629,0.00234942332336608
"1173","CS_CTRL16","CS_CTRL","IGHV10-1",8,11,0.0024653312788906,0.00218210672485618
